Id,publisher,paper_title,year,topic,country,game,community,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,label_doi,Label 
10.1002/ejsp.149,Wiley,Effects of gain versus loss and certain versus probable outcomes on social value orientations',2003,,,,44,0,20,20,0,20,20,0,"Poppe 2003, 10.1002/ejsp.149",Poppe 2003
10.1007/s00199-006-0186-3,Springer Science and Business Media LLC,Leading-by-example and signaling in voluntary contribution games: an experimental study',2007,,,,26,15,17,32,15,17,32,0.037526,"Potters 2007, 10.1007/s00199-006-0186-3",Potters 2007
10.1177/104687818301400302,SAGE Publications,Generalization From a Commons-Dilemma Game',1983,,,,44,0,9,9,0,9,9,0,"Powers 1983, 10.1177/104687818301400302",Powers 1983
10.1177/1046878112455487,SAGE Publications,Playing With Conflict',2012,,,,47,0,4,4,0,4,4,0,"Powers 2012, 10.1177/1046878112455487",Powers 2012
10.1007/s11238-016-9550-3,Springer Science and Business Media LLC,Who are the voluntary leaders? Experimental evidence from a sequential contribution game',2016,,,,26,1,26,27,1,26,27,0.001676,"Préget 2016, 10.1007/s11238-016-9550-3",Préget 2016
10.1177/0146167213499937,SAGE Publications,Different Effects of Religion and God on Prosociality With the Ingroup and Outgroup',2013,expectations IV,USA,Prisoner-s-Dilemma,23,1,50,51,1,50,51,0.001676,"Preston 2013, 10.1177/0146167213499937",Preston 2013
10.1098/rspb.2013.0247,The Royal Society,"""Individual heterogeneity and costly punishment: a volunteer's dilemma""",2013,,,,10,3,42,45,3,42,45,0.006492,"Przepiorka 2013, 10.1098/rspb.2013.0247",Przepiorka 2013
10.1017/S0033291714002414,Cambridge University Press (CUP),Social-economical decision making in current and remitted major depression',2014,,,,37,0,44,44,0,44,44,0,"Pulcu 2014, 10.1017/S0033291714002414",Pulcu 2014
10.1098/rspb.2008.1060,The Royal Society,Between-group competition and human cooperation',2008,,,,10,7,25,32,7,25,32,0.021886,"Puurtinen 2008, 10.1098/rspb.2008.1060",Puurtinen 2008
10.1177/002200276601000207,SAGE Publications,Comparison of individuals and pairs as participants in a mixed-motive game',1966,,,,47,8,8,16,8,8,16,0.052099,"Pylyshyn 1966, 10.1177/002200276601000207",Pylyshyn 1966
10.1002/(SICI)1099-0992(199807/08)28:4<483::AID-EJSP907>3.0.CO;2-%23,Wiley,Is there a discontinuity or a reciprocity effect in cooperation and competition between individuals and groups?',1998,,,,50,0,23,23,0,23,23,0,"Rabbie 1998, 10.1002/(SICI)1099-0992(199807/08)28:4<483::AID-EJSP907>3.0.CO;2-%23",Rabbie 1998
10.3758/BF03337894,Springer Science and Business Media LLC,Exposing an individual to two types of prisoner’s dilemma game matrix formats',1971,,,,47,0,7,7,0,7,7,0,"Radinsky 1971, 10.3758/BF03337894",Radinsky 1971
10.3758/BF03342610,Springer Science and Business Media LLC,The influence of an advantaged third person on collaboration in a prisoner’s dilemma game',1968,group size IV,USA,Prisoner-s-Dilemma,47,0,6,6,0,6,6,0,"Radinsky 1968, 10.3758/BF03342610",Radinsky 1968
10.1177/002200276500900208,SAGE Publications,"An experimental study of ""cooperation"" in the Prisoner\'s Dilemma game'",1965,,,,47,11,2,13,11,2,13,0.067723,"Radlow 1965, 10.1177/002200276500900208",Radlow 1965
10.1177/002200276601000408,SAGE Publications,"Unenforced commitments in ""cooperative"" and ""noncooperative"" non-constant-sum games'",1966,,,,47,7,6,13,7,6,13,0.089337,"Radlow 1966, 10.1177/002200276601000408",Radlow 1966
10.1080/00224545.1968.9924846,Informa UK Limited,The Effect of Incentive Magnitude and “Motivational Orientation” upon Choice Behavior in a Two-Person Nonzero-Sum Game',1968,,,,47,2,7,9,2,7,9,0.004486,"Radlow 1968, 10.1080/00224545.1968.9924846",Radlow 1968
10.1111/evo.12637,Wiley,"Third-party punishers are rewarded, but third-party helpers even more so'",2015,,,,10,0,61,61,0,61,61,0,"Raihani 2015, 10.1111/evo.12637",Raihani 2015
10.1371/journal.pone.0122205,Public Library of Science (PLoS),How Feeling Betrayed Affects Cooperation',2015,,,,10,0,28,28,0,28,28,0,"Ramazi 2015, 10.1371/journal.pone.0122205",Ramazi 2015
10.1080/17470919.2014.965341,Informa UK Limited,Empathy as a neuropsychological heuristic in social decision-making',2014,,,,37,0,44,44,0,44,44,0,"Ramsøy 2014, 10.1080/17470919.2014.965341",Ramsøy 2014
10.3389/fnbeh.2014.00300,Frontiers Media SA,Reflection does not undermine self-interested prosociality',2014,,,,10,8,53,61,8,53,61,0.03178,"Rand 2014, 10.3389/fnbeh.2014.00300",Rand 2014
10.1038/ncomms1442,Springer Science and Business Media LLC,The evolution of antisocial punishment in optional public goods games',2011,,,,10,9,54,63,9,54,63,0.044264,"Rand 2011, 10.1038/ncomms1442",Rand 2011
10.1073/pnas.1108243108,Proceedings of the National Academy of Sciences,Dynamic social networks promote cooperation in experiments with humans',2011,,,,10,25,58,83,25,58,83,0.107326,"Rand 2011, 10.1073/pnas.1108243108",Rand 2011
10.1126/science.1177418,American Association for the Advancement of Science (AAAS),Positive Interactions Promote Public Cooperation',2009,,,,10,45,32,77,45,32,77,0.189442,"Rand 2009, 10.1126/science.1177418",Rand 2009
10.1038/nature11467,Springer Science and Business Media LLC,Spontaneous giving and calculated greed',2012,individual differenences IV,USA,ContinuousPGD,10,32,25,57,32,25,57,0.126098,"Rand 2012, 10.1038/nature11467",Rand 2012
10.1002/bdm.1837,Wiley,Social Context and the Dynamics of Cooperative Choice',2014,identification IV,USA,ContinuousPGD,10,4,68,72,4,68,72,0.021508,"Rand 2014, 10.1002/bdm.1837",Rand 2014
10.1073/pnas.1400406111,Proceedings of the National Academy of Sciences,Static network structure can stabilize human cooperation',2014,,,,10,4,59,63,4,59,63,0.010263,"Rand 2014, 10.1073/pnas.1400406111",Rand 2014
10.1038/ncomms4677,Springer Science and Business Media LLC,Social heuristics shape intuitive cooperation',2014,,,,10,24,64,88,24,64,88,0.078591,"Rand 2014, 10.1038/ncomms4677",Rand 2014
10.3389/fpsyg.2017.01944,Frontiers Media SA,Does Short-Term Hunger Increase Trust and Trustworthiness in a High Trust Society?',2017,,,,37,0,72,72,0,73,73,0,"Rantapuska 2017, 10.3389/fpsyg.2017.01944",Rantapuska 2017
10.1007/BF01262516,Springer Science and Business Media LLC,Order of play in strategically equivalent games in extensive form',1997,,,,44,5,16,21,5,16,21,0.023158,"Rapoport 1997, 10.1007/BF01262516",Rapoport 1997
10.1002/bs.3830130304,Wiley,Experimental studies of interdependent mixed-motive games',1968,gender IV,USA,Prisoner-s-Dilemma,47,2,13,15,2,13,15,0.003351,"Rapopor 1968, 10.1002/bs.3830130304",Rapopor 1968
10.1002/bs.3830110604,Wiley,"""Experimental studies of stochastic models for the Prisoner's dilemma""",1966,,,,47,5,15,20,5,15,20,0.022104,"Rapoport 1966, 10.1002/bs.3830110604",Rapoport 1966
10.1007/BF00133087,Springer Science and Business Media LLC,Experiments with cooperative 2 � 2 games',1977,,,,28,0,2,2,0,2,2,0,"Rapoport 1977, 10.1007/BF00133087",Rapoport 1977
10.1002/bs.3830140305,Wiley,Effects of payoff information in multistage mixed-motive games',1969,,,,47,0,11,11,0,11,11,0,"Rapoport 1969, 10.1002/bs.3830140305",Rapoport 1969
10.1177/0022002788032003003,SAGE Publications,Experiments with N-Person Social Traps I',1988,,,,20,3,2,5,3,2,5,0.006831,"Rapoport 1988, 10.1177/0022002788032003003",Rapoport 1988
10.1177/0022002788032003004,SAGE Publications,Experiments with N-Person Social Traps II',1988,expectations IV,CAN,Prisoner-s-Dilemma,44,1,8,9,1,8,9,0.001676,"Rapoport 1988, 10.1177/0022002788032003004",Rapoport 1988
10.1177/0022002789033003005,SAGE Publications,Solving Public Good Problems in Competition Between Equal and Unequal Size Groups',1989,,,,44,2,18,20,2,18,20,0.00391,"Rapoport 1989, 10.1177/0022002789033003005",Rapoport 1989
10.1177/002200276601000308,SAGE Publications,"The ""end"" and ""start"" effects in iterated Prisoner\'s Dilemma'",1966,,,,47,3,1,4,3,1,4,0.018327,"Rapoport 1966, 10.1177/002200276601000308",Rapoport 1966
10.1080/0022250x.1997.9990204,Informa UK Limited,"Gains, losses, and cooperation in social dilemmas and collective action: The effects of risk preferences'",1997,,,,44,0,11,11,0,11,11,0,"Raub 1997, 10.1080/0022250x.1997.9990204",Raub 1997
10.1111/jopy.12285,Wiley,"The Motivating Power of Visionary Images: Effects on Motivation, Affect, and Behavior'",2016,,,,24,0,55,55,0,55,55,0,"Rawolle 2016, 10.1111/jopy.12285",Rawolle 2016
10.1007/s12110-012-9136-x,Springer Science and Business Media LLC,Altruistic Punishment and Between-Group Competition',2012,,,,26,1,64,65,1,64,65,0.001676,"Rebers 2012, 10.1007/s12110-012-9136-x",Rebers 2012
10.1901/jeab.1993.60-67,Wiley,THE ROLE OF AUTOSHAPING IN COOPERATIVE TWO-PLAYER GAMES BETWEEN STARLINGS',1993,,,,18,4,17,21,4,17,21,0.010491,"Reboreda 1993, 10.1901/jeab.1993.60-67",Reboreda 1993
10.1007/s10640-010-9387-0,Springer Science and Business Media LLC,The Market Instinct: The Demise of Social Preferences for Self-Interest',2010,,,,28,1,20,21,1,20,21,0.001676,"Reeson 2010, 10.1007/s10640-010-9387-0",Reeson 2010
10.1007/s10640-017-0126-7,Springer Science and Business Media LLC,"Improving Voluntary Public Good Provision Through a Non-governmental, Endogenous Matching Mechanism: Experimental Evidence'",2017,,,,26,0,72,72,0,72,72,0,"Reif 2017, 10.1007/s10640-017-0126-7",Reif 2017
10.1007/s11238-011-9245-8,Springer Science and Business Media LLC,Reputation and influence in charitable giving: an experiment',2011,,,,26,0,39,39,0,39,39,0,"Reinstein 2011, 10.1007/s11238-011-9245-8",Reinstein 2011
10.1080/00224545.1966.9919713,Informa UK Limited,The Necessity of Mutual Trust for Cooperative Behavior in a Two-Person Game',1966,,,,47,3,6,9,3,6,9,0.007051,"Rekosh 1966, 10.1080/00224545.1966.9919713",Rekosh 1966
10.1177/0022002708322361,SAGE Publications,Public Goods Provision and Sanctioning in Privileged Groups',2008,agent IV,NLD,ContinuousPGD,26,9,30,39,9,30,39,0.021051,"Reuben 2008, 10.1177/0022002708322361",Reuben 2008
10.1080/13504851.2015.1119786,Informa UK Limited,Exploring the role of gender in common-pool resource extraction: evidence from laboratory and field experiments in fisheries',2015,,,,26,0,19,19,0,19,19,0,"Revollo-Fernández 2015, 10.1080/13504851.2015.1119786",Revollo-Fernández 2015
10.1093/geronb/gbt088,Oxford University Press (OUP),On the Generality of Age Differences in Social and Nonsocial Decision Making',2013,,,,18,1,60,61,1,60,61,0.001676,"Rieger 2013, 10.1093/geronb/gbt088",Rieger 2013
10.1177/147470491301100117,SAGE Publications,Who Punishes? Personality Traits Predict Individual Variation in Punitive Sentiment',2013,,,,10,0,44,44,0,44,44,0,"Roberts 2013, 10.1177/147470491301100117",Roberts 2013
10.1098/rspb.2003.2491,The Royal Society,The development of cooperative relationships: an experiment',2003,,,,18,1,22,23,1,22,23,0.003891,"Roberts 2003, 10.1098/rspb.2003.2491",Roberts 2003
10.1038/nature05229,Springer Science and Business Media LLC,The efficient interaction of indirect reciprocity and costly punishment',2006,,,,10,34,26,60,34,26,60,0.37711,"Rockenbach 2006, 10.1038/nature05229",Rockenbach 2006
10.1073/pnas.1108996108,Proceedings of the National Academy of Sciences,"To qualify as a social partner, humans hide severe punishment, although their observed cooperativeness is decisive'",2011,,,,10,3,38,41,3,38,41,0.005746,"Rockenbach 2011, 10.1073/pnas.1108996108",Rockenbach 2011
10.1073/pnas.1524899113,Proceedings of the National Academy of Sciences,Potential follow-up increases private contributions to public goods',2016,,,,10,1,32,33,1,32,33,0.002164,"Rogers 2016, 10.1073/pnas.1524899113",Rogers 2016
10.1177/0956797617714828,SAGE Publications,Reciprocity Outperforms Conformity to Promote Cooperation',2017,,,,43,0,35,35,0,35,35,0,"Romano 2017, 10.1177/0956797617714828",Romano 2017
10.1177/1043463117701124,SAGE Publications,Institutional trust and the provision of public goods: When do individual costs matter? The case of recycling',2017,,,,16,0,23,23,0,23,23,0,"Rompf 2017, 10.1177/1043463117701124",Rompf 2017
10.1080/00223989809599155,Informa UK Limited,Facilitating Cooperation in a Social Dilemma: A Persuasion Approach',1998,individual differenences IV,USA,Prisoner-s-Dilemma,44,0,8,8,0,8,8,0,"Rosen 1998, 10.1080/00223989809599155",Rosen 1998
10.1080/00220388.2012.693169,Informa UK Limited,Safeguarding Common-Pool Resources in Transition Economies: Experimental Evidence from Central Asia',2012,,,,26,0,71,71,0,71,71,0,"Rosenbaum 2012, 10.1080/00220388.2012.693169",Rosenbaum 2012
10.1108/IJSE-04-2015-0109,Emerald,Income inequality and cooperative propensities in developing economies',2016,,,,26,0,56,56,0,56,56,0,"Rosenbaum 2016, 10.1108/IJSE-04-2015-0109",Rosenbaum 2016
10.1177/016502549501800408,SAGE Publications,"""The Socialisation of Trust: Parents' and Children's Interpersonal Trust""",1995,,,,16,1,18,19,1,18,19,0.002677,"Rotenberg 1995, 10.1177/016502549501800408",Rotenberg 1995
10.3200/GNTP.165.3.233-249,Informa UK Limited,The Relationship Between Loneliness and Interpersonal Trust During Middle Childhood',2004,,,,16,1,30,31,1,30,31,0.005307,"Rotenberg 2004, 10.3200/GNTP.165.3.233-249",Rotenberg 2004
10.1002/ejsp.659,Wiley,The benefits of empathy: When empathy may sustain cooperation in social dilemmas',2009,communication IV,USA,Prisoner-s-Dilemma,44,1,23,24,1,24,25,0.001676,"Rumble 2009, 10.1002/ejsp.659",Rumble 2009
10.1177/147470491301100504,SAGE Publications,Asymmetries in Altruistic Behavior during Violent Intergroup                     Conflict',2013,,,,50,0,27,27,0,27,27,0,"Rusch 2013, 10.1177/147470491301100504",Rusch 2013
10.1126/science.1193649,American Association for the Advancement of Science (AAAS),Conditional Cooperation and Costly Monitoring Explain Success in Forest Commons Management',2010,,,,26,12,38,50,12,38,50,0.024933,"Rustagi 2010, 10.1126/science.1193649",Rustagi 2010
10.1002/ejsp.2420140109,Wiley,Social dilemmas and leadership',1984,,,,44,7,5,12,7,5,12,0.016683,"Ruve 1984, 10.1002/ejsp.2420140109",Ruve 1984
10.1002/ejsp.2420150311,Wiley,Preference for decision structures in a social dilemma situation',1985,,,,44,4,4,8,4,4,8,0.00775,"Rutte 1985, 10.1002/ejsp.2420150311",Rutte 1985
10.1007/s00265-014-1741-8,Springer Science and Business Media LLC,"Intergroup conflict, ostracism, and the evolution of cooperation under free migration'",2014,,,,50,0,39,39,0,39,39,0,"Sääksvuori 2014, 10.1007/s00265-014-1741-8",Sääksvuori 2014
10.1098/rspb.2011.0252,The Royal Society,Costly punishment prevails in intergroup conflict',2011,,,,10,3,41,44,3,41,44,0.006704,"Sääksvuori 2011, 10.1098/rspb.2011.0252",Sääksvuori 2011
10.1002/ejsp.729,Wiley,"""To compete or to cooperate? Values' impact on perception and action in social dilemma games""",2011,,,,24,3,39,42,3,39,42,0.005027,"Sagiv 2011, 10.1002/ejsp.729",Sagiv 2011
10.1177/0022002795039003007,SAGE Publications,The “Spite” Dilemma in Voluntary Contribution Mechanism Experiments',1995,,,,26,13,14,27,13,14,27,0.099362,"Saijo 1995, 10.1177/0022002795039003007",Saijo 1995
10.1111/conl.12277,Wiley,Simple Incentives and Group Dependence for Successful Payments for Ecosystem Services Programs: Evidence from an Experimental Game in Rural Lao PDR',2017,,,,7,0,28,28,0,28,28,0,"Salk 2017, 10.1111/conl.12277",Salk 2017
10.1177/1043463195007001004,SAGE Publications,Conversation and Cooperation in Social Dilemmas',1995,,,,26,39,12,51,39,12,51,0.130782,"SALLY 1995, 10.1177/1043463195007001004",SALLY 1995
10.1007/s10683-013-9389-1,Springer Science and Business Media LLC,Recognizing contributors: an experiment on public goods',2014,,,,26,0,38,38,0,38,38,0,"Savikhin Samek 2014, 10.1007/s10683-013-9389-1",Savikhin Samek 2014
10.1007/978-0-387-72596-3_8,Springer US,Effectiveness of Coercive and Voluntary Institutional Solutions to Social Dilemmas',2008,,,,44,0,15,15,0,15,15,0,"Samid 2008, 10.1007/978-0-387-72596-3_8",Samid 2008
10.1177/002200276500900207,SAGE Publications,"Age, sex, class, and race differences in response to a two-person non-zero-sum game'",1965,,,,47,11,3,14,11,3,14,0.042045,"Sampson 1965, 10.1177/002200276500900207",Sampson 1965
10.1177/014616729101700210,SAGE Publications,"Perceived Task Difficulty, Causal Attributions, and Preferences for Structural Change in Resource Dilemmas'",1991,,,,44,3,21,24,3,21,24,0.008139,"Samuelson 1991, 10.1177/014616729101700210",Samuelson 1991
10.3758/BF03195994,Springer Science and Business Media LLC,Learning by pigeons playing against tit-for-tat in an operant prisoner’s dilemma',2003,,,,18,2,15,17,2,15,17,0.004298,"Sanabria 2003, 10.3758/BF03195994",Sanabria 2003
10.1007/s12369-015-0323-x,Springer Science and Business Media LLC,Reciprocity in Human-Robot Interaction: A Quantitative Approach Through the Prisoner’s Dilemma and the Ultimatum Game',2015,individual differenences IV,NZL,Prisoner-s-Dilemma,18,0,38,38,0,38,38,0,"Sandoval 2015, 10.1007/s12369-015-0323-x",Sandoval 2015
10.1111/j.1467-9280.2009.02458.x,SAGE Publications,Construing Collective Concerns',2009,,,,45,0,15,15,0,15,15,0,"Sauna 2009, 10.1111/j.1467-9280.2009.02458.x",Sauna 2009
10.4284/sej.2011.77.3.557,Wiley,On Delays in Project Completion with Cost Reduction: An Experiment',2011,,,,28,0,14,14,0,14,14,0,"Sarkar 2011, 10.4284/sej.2011.77.3.557",Sarkar 2011
10.1177/1043463114533073,SAGE Publications,Restraining free-riders: The effects of actor types and decision rules in the public goods game',2014,,,,50,0,38,38,0,38,38,0,"Sauermann 2014, 10.1177/1043463114533073",Sauermann 2014
10.1017/S0033291714002475,Cambridge University Press (CUP),"Borderline personality disorder, but not euthymic bipolar disorder, is associated with a failure to sustain reciprocal cooperative behaviour: implications for spectrum models of mood disorders'",2015,age IV,GBR,Prisoner-s-Dilemma,48,0,36,36,0,36,36,0,"Saunders 2015, 10.1017/S0033291714002475",Saunders 2015
10.1007/s10683-008-9209-1,Springer Science and Business Media LLC,A note on peer effects between teams',2008,,,,26,1,14,15,1,14,15,0.003141,"Sausgruber 2008, 10.1007/s10683-008-9209-1",Sausgruber 2008
10.1111/j.1465-7295.2012.00474.x,Wiley,SIMULTANEOUS DECISION-MAKING IN COMPETITIVE AND COOPERATIVE ENVIRONMENTS',2012,,,,29,1,39,40,1,39,40,0.001676,"SAVIKHIN 2012, 10.1111/j.1465-7295.2012.00474.x",SAVIKHIN 2012
10.2466/pr0.1968.22.2.469,SAGE Publications,Satisfaction and Cooperation',1968,,,,47,0,1,1,0,1,1,0,"Schellenberg 1968, 10.2466/pr0.1968.22.2.469",Schellenberg 1968
10.1177/002200277802200302,SAGE Publications,Cooperators and Competitors in Conflict: A Test of The “Triangle Model”',1978,,,,47,1,7,8,1,7,8,0.00912,"Schlenker 1978, 10.1177/002200277802200302",Schlenker 1978
10.1177/001872677202500504,SAGE Publications,Interpersonal Attraction and the Exercise of Coercive and Reward Power',1972,,,,47,1,13,14,1,13,14,0.002235,"Schlenker 1972, 10.1177/001872677202500504",Schlenker 1972
10.3758/BF03329003,Springer Science and Business Media LLC,The effects of referent and reward power upon social conflict',1971,,,,47,1,5,6,1,5,6,0.001676,"Schlenker 1971, 10.3758/BF03329003",Schlenker 1971
10.1007/s11211-017-0300-7,Springer Science and Business Media LLC,Justice Sensitivity and Cooperation Dynamics in Repeated Public Good Games',2017,,,,21,0,53,53,0,53,53,0,"Schlösser 2017, 10.1007/s11211-017-0300-7",Schlösser 2017
10.1186/1471-2148-12-41,Springer Science and Business Media LLC,Reciprocal cooperation between unrelated rats depends on cost to donor and benefit to recipient',2012,,,,18,0,18,18,0,18,18,0,"Schneeberger 2012, 10.1186/1471-2148-12-41",Schneeberger 2012
10.1080/14792779243000041,Informa UK Limited,The Discontinuity Effect in Interpersonal and Intergroup Relations: Generality and Mediation',1992,,,,50,7,33,40,7,33,40,0.025573,"Schopler 1992, 10.1080/14792779243000041",Schopler 1992
10.1007/BF02856471,Springer Science and Business Media LLC,The survival of a cooperative tradition in the intergroup discontinuity context',1994,group size IV,USA,Prisoner-s-Dilemma,50,0,18,18,0,18,18,0,"Schopler 1994, 10.1007/BF02856471",Schopler 1994
10.1177/0146167291176003,SAGE Publications,"""The Generality of the Individual-Group Discontinuity Effect: Variations in Positivity-Negativity of Outcomes, Players' Relative Power, and Magnitude of Outcomes""",1991,group size IV,USA,Prisoner-s-Dilemma,50,7,15,22,7,15,22,0.030798,"Schopler 1991, 10.1177/0146167291176003",Schopler 1991
10.1177/0146167293194007,SAGE Publications,Individual-Group Discontinuity: Further Evidence for Mediation by Fear and Greed',1993,communication IV,USA,Prisoner-s-Dilemma,50,11,12,23,11,12,23,0.027323,"Schopler 1993, 10.1177/0146167293194007",Schopler 1993
10.2466/pr0.1982.50.1.107,SAGE Publications,Utilization of Information in a Social-Trap Situation',1982,,,,44,0,5,5,0,5,5,0,"Schroeder 1982, 10.2466/pr0.1982.50.1.107",Schroeder 1982
10.1177/0022002789033004007,SAGE Publications,Exit Threats and Cooperation under Anonymity',1989,,,,10,4,5,9,4,5,9,0.007679,"Schuessler 1989, 10.1177/0022002789033004007",Schuessler 1989
10.1177/1043463191003001007,SAGE Publications,"Egoism, Parochialism, and Universalism'",1991,communication IV,USA,Prisoner-s-Dilemma,44,2,26,28,2,26,28,0.008192,"SCHWARTZ-SHEA 1991, 10.1177/1043463191003001007",SCHWARTZ-SHEA 1991
10.1111/j.1559-1816.2005.tb02212.x,Wiley,Conflict Frames and the Use of Deception: Are Competitive Negotiators Less Ethical?1',2005,,,,44,0,59,59,0,59,59,0,"Schweitzer 2005, 10.1111/j.1559-1816.2005.tb02212.x",Schweitzer 2005
10.1080/00223980.1961.9916504,Informa UK Limited,Value Orientations and Preference for a Minimax Strategy',1961,,,,47,1,7,8,1,7,8,0.018614,"Scodel 1961, 10.1080/00223980.1961.9916504",Scodel 1961
10.1177/002200276200600404,SAGE Publications,Induced collaboration in some non-zero-sum games',1962,strategy IV,USA,Prisoner-s-Dilemma,47,17,5,22,17,5,22,0.150284,"Scodel 1962, 10.1177/002200276200600404",Scodel 1962
10.1080/00223980.1960.9916429,Informa UK Limited,"""The Behavior of Prisoners in a “Prisoner's Dilemma” Game""",1960,,,,47,0,2,2,0,2,2,0,"Scodel 1960, 10.1080/00223980.1960.9916429",Scodel 1960
10.1177/002200275900300203,SAGE Publications,Some descriptive aspects of two-person non-zero-sum games',1959,,,,47,42,1,43,42,1,43,0.335802,"Scodel 1959, 10.1177/002200275900300203",Scodel 1959
10.1111/j.1465-7295.2007.00051.x,Wiley,THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS',2007,agent IV,USA,ContinuousPGD,26,32,32,64,32,32,64,0.129287,"SEFTON 2007, 10.1111/j.1465-7295.2007.00051.x",SEFTON 2007
10.1007/s11031-014-9395-4,Springer Science and Business Media LLC,Anger motivates costly punishment of unfair behavior',2014,,,,38,0,27,27,0,27,27,0,"Seip 2014, 10.1007/s11031-014-9395-4",Seip 2014
10.1080/00207590544000103,Wiley,Is there a pro‐self component behind the prominence effect? Individual resource allocation decisions with communities as potential beneficiaries',2005,,,,44,0,38,38,0,38,38,0,"Selart 2005, 10.1080/00207590544000103",Selart 2005
10.1038/nature01986,Springer Science and Business Media LLC,Volunteering leads to rock–paper–scissors dynamics in a public goods game',2003,,,,10,8,20,28,8,20,28,0.074828,"Semmann 2003, 10.1038/nature01986",Semmann 2003
10.1007/s00265-004-0885-3,Springer Science and Business Media LLC,Reputation is valuable within and outside one?s own social group',2005,,,,10,7,28,35,7,28,35,0.047371,"Semmann 2005, 10.1007/s00265-004-0885-3",Semmann 2005
10.1086/323729,Oxford University Press (OUP),Withholding Consumption: A Social Dilemma Perspective on Consumer Boycotts',2001,,,,45,0,19,19,0,19,19,0,"Sen 2001, 10.1086/323729",Sen 2001
10.3758/BF03335449,Springer Science and Business Media LLC,Cooperation in the prisoner’s dilemma as a function of interpersonal distance',1972,,,,47,0,9,9,0,9,9,0,"Sensenig 1972, 10.3758/BF03335449",Sensenig 1972
10.1080/00224545.1964.9919521,Informa UK Limited,Cooperative Behavior in a Mixed-Motive Game',1964,strategy IV,CAN,Prisoner-s-Dilemma,47,9,11,20,9,11,20,0.05792,"Sermat 1964, 10.1080/00224545.1964.9919521",Sermat 1964
10.1002/bs.3830120405,Wiley,"""The effect of an initial cooperative or competitive treatment upon a subject's response to conditional cooperation""",1967,,,,47,9,10,19,9,10,19,0.031701,"Sermat 1967, 10.1002/bs.3830120405",Sermat 1967
10.1111/jeea.12034,Oxford University Press (OUP),LYING ABOUT WHAT YOUKNOWOR ABOUT WHAT YOUDO?',2013,,,,26,0,37,37,0,37,37,0,"Serra-Garcia 2013, 10.1111/jeea.12034",Serra-Garcia 2013
10.1111/j.1468-0297.2009.02267.x,Oxford University Press (OUP),A Field Experiment in Charitable Contribution: The Impact of Social Information on the Voluntary Provision of Public Goods',2009,,,,26,11,40,51,11,40,51,0.021503,"Shang 2009, 10.1111/j.1468-0297.2009.02267.x",Shang 2009
10.1371/journal.pone.0120379,Public Library of Science (PLoS),Dilemma of Dilemmas: How Collective and Individual Perspectives Can Clarify the Size Dilemma in Voluntary Linear Public Goods Dilemmas',2015,,,,44,0,35,35,0,35,35,0,"Shank 2015, 10.1371/journal.pone.0120379",Shank 2015
10.1007/s00182-008-0141-6,Springer Science and Business Media LLC,The role of utility interdependence in public good experiments',2008,,,,26,1,16,17,1,16,17,0.001676,"Shapiro 2008, 10.1007/s00182-008-0141-6",Shapiro 2008
10.1177/002200277501900106,SAGE Publications,Varying Patterns of Reward Cooperation',1975,,,,47,1,20,21,1,20,21,0.003135,"Shaw 1975, 10.1177/002200277501900106",Shaw 1975
10.1007/s12110-000-1009-z,Springer Science and Business Media LLC,Prosocial values and group assortation',2000,,,,19,1,15,16,1,15,16,0.002164,"Sheldon 2000, 10.1007/s12110-000-1009-z",Sheldon 2000
10.1177/002200277301700208,SAGE Publications,"""Asymmetry of Payoff Structure and Cooperative Behavior in the Prisoner's Dilemma Game""",1973,,,,47,1,13,14,1,13,14,0.003006,"Sheposh 1973, 10.1177/002200277301700208",Sheposh 1973
10.1080/00223980.1967.10544908,Informa UK Limited,"""Individual Attitude Toward Risk and Choice Between Prisoner'S Dilemma Games""",1967,,,,47,2,7,9,2,7,9,0.00384,"Sherman 1967, 10.1080/00223980.1967.10544908",Sherman 1967
10.1080/00223980.1968.10544949,Informa UK Limited,Personality and Strategic Choice',1968,,,,47,1,10,11,1,10,11,0.001676,"Sherman 1968, 10.1080/00223980.1968.10544949",Sherman 1968
10.1080/00223980.1970.9923751,Informa UK Limited,Culture and Strategic Choice',1970,,,,47,0,5,5,0,5,5,0,"Sherman 1970, 10.1080/00223980.1970.9923751",Sherman 1970
10.1007/s10683-012-9323-y,Springer Science and Business Media LLC,Payment schemes in infinite-horizon experimental games',2012,,,,30,1,20,21,1,20,21,0.002164,"Sherstyuk 2012, 10.1007/s10683-012-9323-y",Sherstyuk 2012
10.1177/147470491301100204,SAGE Publications,Collective Action and the Detrimental Side of Punishment',2013,,,,10,0,79,79,0,79,79,0,"Shutters 2013, 10.1177/147470491301100204",Shutters 2013
10.3758/BF03342441,Springer Science and Business Media LLC,Race and sex of adolescents and cooperation in a mixed-motive game',1968,identification IV,USA,Prisoner-s-Dilemma,47,3,6,9,3,6,9,0.006981,"Sibley 1968, 10.3758/BF03342441",Sibley 1968
