from,to,Type,id,label,title,Weight
n28,n26,Directed,e65,,,1
n62,n61,Directed,e66,,,1
n63,n61,Directed,e67,,,1
n64,n61,Directed,e68,,,1
n65,n61,Directed,e69,,,1
n66,n61,Directed,e70,,,1
n67,n61,Directed,e71,,,1
n68,n61,Directed,e72,,,1
n106,n61,Directed,e73,,,1
n114,n61,Directed,e74,,,1
n69,n61,Directed,e75,,,1
n70,n61,Directed,e76,,,1
n61,n31,Directed,e77,hasMeasure,hasMeasure,1
n61,n46,Directed,e78,hasManipulationType,hasManipulationType,1
n60,n26,Directed,e81,,,1
n73,n26,Directed,e82,,,1
n73,n77,Directed,e83,hasIncentive,hasIncentive,1
n61,n26,Directed,e85,,,1
n61,n77,Directed,e86,hasManipulationType,hasManipulationType,1
n78,n80,Directed,e87,,,1
n79,n77,Directed,e88,,,1
n80,n77,Directed,e89,,,1
n81,n80,Directed,e90,,,1
n75,n77,Directed,e92,hasIncentive,hasIncentive,1
n94,n83,Directed,e93,,,1
n84,n83,Directed,e94,,,1
n91,n84,Directed,e95,,,1
n85,n84,Directed,e96,,,1
n88,n84,Directed,e97,,,1
n87,n84,Directed,e98,,,1
n89,n84,Directed,e99,,,1
n90,n84,Directed,e100,,,1
n86,n84,Directed,e101,,,1
n83,n26,Directed,e102,,,1
n96,n94,Directed,e103,,,1
n95,n93,Directed,e104,,,1
n93,n96,Directed,e105,,,1
n97,n96,Directed,e106,,,1
n98,n93,Directed,e107,,,1
n99,n93,Directed,e108,,,1
n100,n93,Directed,e109,,,1
n101,n93,Directed,e110,,,1
n29,n93,Directed,e111,,,1
n102,n97,Directed,e112,,,1
n103,n97,Directed,e113,,,1
n104,n94,Directed,e114,,,1
n105,n104,Directed,e115,,,1
n106,n104,Directed,e116,,,1
n108,n104,Directed,e117,,,1
n107,n104,Directed,e118,,,1
n109,n104,Directed,e119,,,1
n110,n104,Directed,e120,,,1
